userid,language,date_local,tweet_text,lat,lng,screen_name,governorate,Area
2900379100,u'in',3/22/2018 16:35,"uI''m at Chalet K278 in Al Khiran, Al Asimah https://t.co/kXI40nxIph,",28.657528,48.367023,ah_x243,Ahmadi,Sabah Al-Ahmad Al-Bahrya
2288443600,u'und',12/19/2018 5:08,"uI''m at Khairan 278 | الخيـرآن https://t.co/I9geH72J3e,",28.678864,48.30363,Mahdiialali,Ahmadi,Shalihat
8.27E+17,ro,05/02/2019 22:20,"I''m at Bayan in Bayān, Hawally Governorate https://t.co/vkWYgMH5M1",29.33013,47.97706,Al_jumaa25,Capital,Adeilia
2990097700,u'und',12/31/2017 20:50,"uI''m at Khairan 278 | الخيـرآن https://t.co/WFzBtV8WXX,",28.678864,48.30363,RawaanAlj,Ahmadi,Shalihat
7.35E+17,en,09/04/2019 10:22,I'm at Mestaw9ef alrumitheya https://t.co/sk389KsLwZ,29.314327,48.069183,faa3x_,Hawalli,Rumaithiya
7.98E+17,in,7/24/2019 18:33,"I''m at Jabriya in Al-Jābiriyah, Al Asimah https://t.co/xaEcJ4JgLS",29.317945,48.031403,AYB933,Hawalli,Jabriya
2997448000,u'en',07/03/2018 12:07,"uI''m at The Grove Restaurant &amp; Caf\xe9 in Kuwait City w/ @albahar82 @hebakhaledi45 @sixttysix_ https://t.co/rCY49y35Ka,",29.377283,47.975586,iiiBADRIYA,Capital,Qibla
213069010,u'und',05/09/2018 15:33,"uI''m at ام شريف in Hawalli https://t.co/8EJKqtEYuu,",29.303003,48.086246,k_almajdeli,Hawalli,Salwa
8.88E+17,u'in',1/27/2018 22:09,"uI''m at Dasma in Ad-Dasmah, Al Asimah https://t.co/mhxiPI7Eqw,",29.364668,48.00335,_whaab_,Capital,Dasmah
1568916400,ca,2/24/2020 2:28,"I''m at Kuwait International Airport - @kuwaitairports in Al Farwānīyah, Al Farwaniyah w/ @k567x https://t.co/IV25XBqg6z",29.23941,47.971497,ayah2x,Farwaniya,Airport
3310164500,u'und',01/04/2018 23:05,"uI''m at Opera Kuwait house in الكويت, Al ‘Āşimah https://t.co/v7V3nl3Fq5,",29.35976,47.955616,AmnShmri,Capital,Shuwaikh
1564323500,u'ca',8/29/2018 20:45,"uI''m at بيك يو - @pick_kuwait in Kuwait, Al Asimah https://t.co/ndQzV7EmEa,",29.339088,47.96242,turky20532,Capital,Keefan
9.82E+17,ar,4/21/2020 17:42,I'm at جمعية الجهراء التعاونيه https://t.co/6ClMAHYHQO,29.348627,47.671024,mrh2l,Jahra,Jahra
392694020,u'en',9/26/2018 11:16,"uI''m at American University of the Middle East in Kuwait w/ @aziz501x @its526_ @mjalmuiia https://t.co/Ff8kBczmVU,",29.163376,48.099293,7modAl86an,Ahmadi,Egaila
8.14E+17,u'in',07/05/2018 19:59,"uI''m at @MAYARMall in Shuwaikh Industrial, Al Asimah https://t.co/ucTiSaxWbL,",29.341785,47.942574,zalsabt9,Capital,Shuwaikh Industrial - 1
7.06E+17,u'tl',08/08/2018 19:56,"uI''m at Cozmo Kaifan Official - @cozmogroup in Kaifan https://t.co/LMcx2zaNbK,",29.34541,47.952988,5_almazial,Capital,Keefan
4879132000,en,08/12/2019 16:11,"I''m at Lobster Lake - The Lake in Kuwait, Mubarak Al-kabeer https://t.co/MXHG4lzLLB",29.215378,48.103237,foz_alkhalaf,Mubarak Al-Kabeer,Fineitees
1536670000,ca,6/25/2019 14:46,"I''m at غراند أڤنيو in Kuwait, Al ‘Āşimah https://t.co/W56dwkcjsN",29.302994,47.9392,r2k2n_2l4ajri,Farwaniya,Al-Rai
1.01E+18,ca,12/07/2019 20:12,"I''m at Kuwait International Airport - @kuwaitairports in Al Farwānīyah, Al Farwaniyah https://t.co/rzcx33bUw4",29.23941,47.971497,_eiif,Farwaniya,Airport
331887650,u'ar',1/26/2019 20:58,"u''ملك يا بوجبره تستاهل \U0001f389\U0001f38a❤️ @ Yarmouk https://t.co/2XlvR64A7W'',",29.30663,47.97041,BN_3Li,Capital,Yarmouk
3256296000,u'ar',06/10/2018 21:06,"uI''m at ستاربكس https://t.co/MpHUw4nVjT,",29.188541,48.07846,Hessa_al3ohali,Mubarak Al-Kabeer,Mubarak Al-Kabeer
3577617400,ca,7/29/2019 19:05,"I''m at غراند أڤنيو in Kuwait, Al ‘Āşimah https://t.co/r58zuscsiC",29.303118,47.938324,almutairisoud96,Farwaniya,Al-Rai
8.66E+17,u'und',3/20/2018 12:52,"uI''m at ماكي in Al Rai, Farwaniya Governorate https://t.co/QND7ass6CH,",29.301794,47.931347,Dkalkhaldi,Farwaniya,Al-Rai
764950340,u'en',04/03/2018 0:47,"uI''m at Holiday Inn - Health Club in Hawalli Governorate https://t.co/SAIaYmXcQ8,",29.346127,48.093807,BAshkananii18,Hawalli,Salmiya
1.26E+18,en,8/17/2020 20:12,"I''m at Starbucks Trolley in Kuwait, Al JAHRAA ROAD ( AL-DOHA) https://t.co/8XeWn4vDUy",29.312023,47.811462,az97x_,Capital,Doha
721163300,u'und',12/19/2018 2:36,"u''Nighty. (@ عريفجان) https://t.co/w4abDiEmLv https://t.co/16mljCfQzu'',",28.898094,48.18571,AS72x,Ahmadi,Araifjan
458229150,u'ca',11/24/2018 7:07,"uI''m at السالمية in As Sālimīyah, Muḩāfaz̧at Ḩawallī https://t.co/RXNTNxDigK,",29.335758,48.08032,Alialostadaaa_,Hawalli,Salmiya
8.91E+17,en,4/28/2019 16:26,I'm at American College of the Middle east(ACM) - @acm_college in Kuwait City https://t.co/CFyJt0i00e,29.321632,48.01683,alshatti16_,Hawalli,Jabriya
14145606,u'ar',02/01/2018 19:09,"u''@65WZ @Alzuhair لسى'',",29.302317,47.929966,CivilLizard,Farwaniya,Al-Rai
7.64E+17,en,7/15/2019 21:05,I'm at Crystal Tower w/ @r75xi @gfdashti_ @a247o @j533_ https://t.co/8qzP7MhCpF,29.376842,47.978043,alostath965x,Capital,Sharq
8.91E+17,u'ar',01/01/2019 5:01,"uI''m at ديوانيه الغانم https://t.co/JLdMYPm8k0,",29.324007,47.99779,EAlshemmari,Capital,Rawda
2920787500,u'in',6/28/2018 12:59,"u''\U0001f4bb\U0001f4ad (@ Abdullah AlMubarak Block 9 in Kuwait City) https://t.co/NY3xTaB0HR'',",29.251339,47.88362,_Bo9afar_,Farwaniya,Abdullah Al-Mubarak
605155800,in,4/23/2019 18:18,"I''m at Andora in Tehran, Iran https://t.co/TTAfrEAjXW",29.304325,47.940468,sia_mac,Farwaniya,Al-Rai
160880060,u'ar',11/02/2018 7:28,"u''هل أدوية القلق والإكتئاب تسبب إدمان أو يتعود عليها المريض؟ الجواب : لا تسبب إدمان نهائياً .. فهو معتقد خاطئ.والأد… https://t.co/ebM8U5cq1p'',",29.166668,47.6,FamilyMedKuwait,Jahra,Kabed
8.04E+17,und,07/04/2019 8:34,I'm at Court Building - Riqqae |  مجمع المحاكم - الرقعي https://t.co/VzPDs5pdSa,29.304535,47.91329,noriishka,Farwaniya,Riggae
7.45E+17,u'en',1/18/2019 20:20,"uI''m at Oj''s Coffee &amp; Tea in Sharq, Al Asimah Governate w/ @gala4x1 https://t.co/Y2FqTEjoyM,",29.379091,47.980267,abduasalam_alm,Capital,Sharq
3255320600,u'en',10/09/2018 16:09,"uI''m at Starbucks in Kuwait, Al Asimah https://t.co/xYBD25a8lH,",29.378538,47.992676,saalrasheedi,Capital,Sharq
8.71E+17,u'en',3/29/2018 20:35,"uI''m at @AlHamraTower in Sharq, Kuwait https://t.co/I2CKYg1Fn2,",29.378582,47.992886,Alazran3,Capital,Sharq
13057502,it,05/02/2020 20:27,"Oggi i podcast vanno di moda, ma dove siamo partiti, che cos’è un podcast e come siamo arrivati al successo di oggi… https://t.co/PkXX2gQqYc",29.3697,47.9783,Ilbellodelweb,Capital,Qibla
7.55E+17,u'en',12/15/2018 20:03,"uI''m at @AlHamraTower in Sharq, Kuwait https://t.co/4GjQdd1BSd,",29.378527,47.992607,Alghanim27___,Capital,Sharq
628862100,u'en',12/27/2017 20:09,"uI''m at The Gathering Bistro - @gatheringkw in Kuwait, Alasimah https://t.co/uw1kJQd2pr,",29.362965,47.966515,AnwarAlShaiji,Capital,Qibla
9.98E+17,en,2/28/2020 20:37,I'm at triangle restaurant w/ @m3lkhaldi66 https://t.co/XEWN6VvszJ,29.367945,47.969845,m3lkhaldii,Capital,Qibla
8.24E+17,u'en',3/23/2018 20:22,"uI''m at Egaila https://t.co/MudmjbTCux,",29.172956,48.102257,dahmshi_,Ahmadi,Egaila
7.23E+17,en,9/20/2020 21:18,"thank you 🤍 (@ KIPCO Tower in Kuwait, Al Asimah) https://t.co/WoUw9ZsikN https://t.co/QvU628gmvj",29.375927,47.98736,elsahow,Capital,Sharq
9.01E+17,u'en',5/23/2018 22:15,"uI''m at @AlHamraTower in Sharq, Kuwait w/ @itsalmahmeed https://t.co/zFwTm0Qq0O,",29.378809,47.993015,0_76xx,Capital,Sharq
535875500,u'en',3/29/2018 8:28,"uI''m at 26 February Tower w/ @iiibadriya https://t.co/RmLqwyGPzl,",29.376892,47.992714,Afalsultan_,Capital,Sharq
147208080,u'und',12/29/2017 9:49,"uI''m at مطعم صوت الهند in Kuwait City, Al Asimah https://t.co/Jog2havZlm,",29.38074,47.98305,orgatee,Capital,Sharq
9.11E+17,en,4/29/2019 19:41,I'm at Qibla in Kuwait City https://t.co/ePXBf7o3Kk,29.323479,47.986465,Es707_,Capital,Adeilia
9.04E+17,u'und',10/09/2018 23:03,"uI''m at \u062c\u0628\u062f https://t.co/xkf52QUtSG,",29.378885,47.999954,i_76v,Capital,Bned Al-Gar
7.39E+17,en,11/07/2019 14:00,"I''m at College of Law in Kuwait City, Al Asimah https://t.co/sl7wgBcaf6",29.341858,47.915184,retajhadii,Capital,Shuwaikh Education
3179670300,u'en',11/30/2018 16:49,"uI''m at Salhiya Complex in Kuwait City, Al Asimah https://t.co/hKYuOhYfMa,",29.363108,47.966717,iMJ64_,Capital,Qibla
705045250,ar,4/17/2019 22:49,@787878i دامك تحبين الغناء غني لي 😔,29.297712,47.91259,_lNFNF,Farwaniya,Ardhiya - 6
7.45E+17,en,09/09/2019 21:17,"I''m at Grand Avenue Phase 4 in Al Kuwayt, Al Farwaniyah Governorate https://t.co/7nMxnIHInO",29.30332,47.941692,mt501i,Farwaniya,Al-Rai
1614707700,u'tl',01/04/2018 21:19,"uI''m at Murouj in Sabhan, Kuwait City, Mubarak Al-kabeer w/ @afmutairy @falmohammad5 https://t.co/nFMpC4iE90,",29.261185,48.02203,4_alshatti,Mubarak Al-Kabeer,Wosta
7.69E+17,u'ar',12/27/2018 20:45,"uI''m at القادسية https://t.co/S5MPrZDp2L,",29.35019,48.002014,MsBashayerm,Capital,Qadsiya
1905011500,u'ca',11/03/2018 7:41,"uI''m at ستاربكس in Al-Farwānīyah, Al Asimah https://t.co/mhV8RVqt7B,",29.240597,47.97104,HN10x,Farwaniya,Airport
9.40E+17,u'en',10/10/2018 16:17,"uI''m at Pick Yo in Hateen https://t.co/JYEUu5ftXz,",29.381147,47.986347,Xyf_18,Capital,Sharq
153426780,u'in',1/27/2018 18:48,"uI''m at Shuwaikh in Al-Asimah, Al Asimah w/ @alyaseen32 https://t.co/znslzY5ZBQ,",29.324522,47.944263,hmak70,Capital,Shuwaikh Industrial - 2
8.07E+17,ca,2/15/2020 19:44,"I''m at Mövenpick Hotel &amp; Resort Al Bida''a - @movenpickhotels in Salmiya, حولي https://t.co/q46n376vM0",29.31928,48.08966,fhashmr,Hawalli,Rumaithiya
8.26E+17,tl,06/05/2019 21:39,"I''m at % Arabica Abu Al-Hasaniya in Abu Al-Hasaniya, Mubarak Al-Kabeer Governorate https://t.co/YUeVHVCiNU",29.340973,47.941803,almosawi52,Capital,Shuwaikh Industrial - 1
1.01E+18,u'en',11/02/2018 18:55,"uI''m at Tobys Estate in Kuwait city, Kuwait https://t.co/WqCC946l6J,",29.3752,47.978188,mindxstealer,Capital,Qibla
712707260,en,09/06/2019 19:08,I'm at Cozmo Jalboot Village in Al Ahmadi https://t.co/YwGf1OUroJ,28.680155,48.37184,omar_alrandi,Ahmadi,Sabah Al-Ahmad Al-Bahrya
604901400,en,9/18/2019 20:01,I'm at Starbucks in Salmiya https://t.co/L2AhXs0TzV,29.328598,48.090477,klaay627,Hawalli,Salmiya
1028244160,u'en',3/23/2018 20:59,"uI''m at Face/Off Cafe in Kuwait City, Al Kuwayt https://t.co/CCHrblRQqv,",29.38403,47.98863,3liAljassem,Capital,Sharq
8.09E+17,u'en',6/17/2018 22:41,"uI''m at @AlHamraTower in Sharq, Kuwait https://t.co/y5ygD3Ifwf,",29.378736,47.99302,fahad_alhwashel,Capital,Sharq
7.13E+17,lv,07/05/2019 11:00,I'm at Bnaider 258 in Al Aḩmadī https://t.co/TFTTIphYmj,28.811892,48.277573,dalali377,Ahmadi,Shalihat
236013310,und,09/07/2020 20:50,الحسينية السجاديه 🖤 (@ Rumaithya Block 2 in Hawalli Governorate) https://t.co/XP2z6tcOj6 https://t.co/47Sxi0OaEf,29.310196,48.066128,Fatma_almutawa,Hawalli,Rumaithiya
1.13E+18,ca,02/06/2020 22:29,"I''m at Burger Boutique in Ṣabḥān, Mubarak Al-kabeer https://t.co/2vPsjXTMTp",29.261333,48.021942,El4lo,Mubarak Al-Kabeer,Wosta
1.04E+18,en,4/20/2019 9:25,I'm at Jaber Al-Ahmad Central Library - Kuwait University in Kuwait w/ @sfa12x_ https://t.co/G4Bz7wxr67,29.302935,48.086636,almnaie2,Hawalli,Salwa
380817500,en,4/28/2022 12:17,Gm 💖 @ Kuwait City https://t.co/j3tUMH4VtR,29.3697,47.9783,Its_Phatimah,Capital,Qibla
2516352500,u'und',07/05/2018 20:17,"uI''m at Watania Resort .. منتزه الوطنية w/ @aleidan662 https://t.co/2Nrlo7b4sX,",28.645323,48.38354,A41x_,Ahmadi,Sabah Al-Ahmad Al-Bahrya
4042581800,u'tr',8/21/2018 13:31,"uI''m at Abdulla Al-Mubarak https://t.co/rWiOFIdTRv,",29.243654,47.89839,alsa3di8,Farwaniya,Abdullah Al-Mubarak
7.65E+17,u'und',1/29/2018 8:29,"uI''m at Kuwait International Airport in Al Farwānīyah, Al Farwaniyah w/ @kaldalmani https://t.co/rKBaeFok3A,",29.241207,47.970646,alrashedomar_,Farwaniya,Airport
2864832300,u'ca',03/06/2018 13:57,"uI''m at Al Quşūr https://t.co/Nf8gPuvR6u,",29.214588,48.069664,mutairi56x,Mubarak Al-Kabeer,Al-Qusour
1363864700,u'ca',08/10/2018 14:31,"uI''m at الزهراء in Al-Zahrā'', Al Asimah https://t.co/vHfiD45HtH,",29.277905,47.99657,fares1aleneziii,Hawalli,Zahra
2342217200,u'ar',9/20/2018 10:05,"u''لي متى \U0001f642\U0001f494 (@ برنامج إعادة هيكلة القوى العاملة والجهاز التنفيذي للدولة - @mgrp_kw w/ @y_alaryan) https://t.co/9b1uhlfLOl'',",29.305874,47.90877,TWE893,Farwaniya,Riggae
4298785300,und,01/07/2020 17:58,I'm at استاد جابر الأحمد الدولي - @shababjs in Al Farwaniyah Governate w/ @abdulwahabalr__ https://t.co/Hqa4Z3wqEq,29.27195,47.918716,mutaire34x,Farwaniya,Ardhiya - 6
8.00E+17,u'lv',9/27/2018 17:07,"uI''m at Bnaider 258 in Al Aḩmadī https://t.co/sawzkDDDRy,",28.811892,48.277573,itssr7a,Ahmadi,Shalihat
2595598600,und,3/28/2019 8:26,"اللهم اشفي امي و قومها بسلامه ادولها دشت عمليات (@ Farwania Hospital in Farwaniya, Al Farwaniyah Governate) https://t.co/0Z52NwSe2U",29.166668,47.6,k23xii,Jahra,Kabed
8.21E+17,u'en',03/06/2018 22:12,"uI''m at Dose Caf\xe9 in Kuwait City, Al Asimah Governate https://t.co/Vv6tkFvgvj,",29.373953,47.979702,Ak99x1,Capital,Qibla
4551696000,u'tr',6/16/2018 22:28,"uI''m at Nuzha Co-Op in Nuzha, Al Asimah https://t.co/Vws4my7rDt,",29.341703,47.991615,ijum3a,Capital,Nuzha
2873074400,u'en',2/18/2018 22:25,"uI''m at Canephora in Kuwait City, Al Kuwayt https://t.co/VgT2PFhE6L https://t.co/D5dTGktYDo,",29.36951,47.97071,KhalidAlShaiji,Capital,Qibla
7.79E+17,u'ca',9/26/2018 8:15,"uI''m at Kuwait International Airport in Al Farwānīyah, Al Farwaniyah https://t.co/lCP6ePiFcz,",29.240963,47.971096,sak_722,Farwaniya,Airport
8.52E+17,ca,9/23/2020 4:27,"I''m at ممشى مشرف in Mishref, Hawalli Governorate https://t.co/vRhVt3VfQG",29.278051,48.06531,medress_3,Hawalli,Mishref
3571443700,u'ar',11/28/2018 10:45,"uI''m at الهيئة العامة للتعليم التطبيقي والتدريب in الكويت, Al Asimah https://t.co/CAjQzQJIqg,",29.331213,47.981728,Faleh25x,Capital,Adeilia
2685973500,en,12/16/2019 9:19,I'm at The Kind Ones in Al Ahmadi https://t.co/9osQ2yj5Sm,29.095833,48.137157,S22__7,Ahmadi,Mangaf
7.67E+17,u'en',07/06/2018 21:35,"uI''m at Tobys Estate in Kuwait city, Kuwait https://t.co/YTTTEshzws,",29.3752,47.978188,Lulualm_,Capital,Qibla
1332266600,ar,8/13/2019 9:40,"بالاخلاق الرفيعة ، وبالصبر الجميل ، وبحسن الكلام ، وبالصمت الانيق ، وبالتعاملات الراقية ، نستطيع ان نملك القلوب ..… https://t.co/WnFthwrGSu",29.32902,47.998764,RAZZAQ_LDE,Capital,Rawda
4871883300,u'in',01/02/2019 22:55,"uI''m at Chalet K278 in Al Khiran, Al Asimah https://t.co/CrtzuZNhcy,",28.665289,48.36616,DAWOODALKANDAR4,Ahmadi,Sabah Al-Ahmad Al-Bahrya
8.85E+17,u'en',12/02/2018 11:39,"uI''m at Kuwait International Law School in Al Doha, Al Jahra Governorate w/ @pearl53x https://t.co/BY5iiHFNEb,",29.321974,47.78862,F_buabbas18,Capital,Doha
3211922200,u'ca',3/16/2018 16:20,"uI''m at Sea View in Kuwait الكويت https://t.co/XaZtezAFQu,",29.136454,48.13168,RaghadAlajmi,Ahmadi,Mahboula
8.76E+17,u'en',4/29/2018 11:45,"uI''m at Starbucks https://t.co/N0JPlsQDBR https://t.co/NZMNuoOU8z,",29.270208,48.033623,dalharbex,Hawalli,Shohdaa
4928390700,en,4/23/2019 17:05,"I''m at Starbucks in Alfahahel, Al Ahmadi https://t.co/7Mkaw2Stbs",29.304325,47.940468,alenazi_97,Farwaniya,Al-Rai
7.51E+17,u'tl',07/01/2018 22:44,"uI''m at MUKHA in Kuwait City, Al Kuwayt https://t.co/r3ANiQWRnx,",29.375872,47.977657,Deraralrashoud3,Capital,Sharq
7.71E+17,en,02/11/2020 7:47,"I''m at College of Law in Kuwait City, Al Asimah https://t.co/TQ1aq2ts0o",29.342577,47.915447,Blueheart7_,Capital,Shuwaikh Education
7.49E+17,u'en',09/07/2018 22:59,"uI''m at Ardiya Industrial w/ @5s6i_ https://t.co/JFBVAyt2JX,",29.297712,47.91259,nalm6x,Farwaniya,Ardhiya - 6
1405077200,u'in',8/27/2018 15:21,"uI''m at Chalet K278 in Al Khiran, Al Asimah w/ @bn_khalfan https://t.co/8tEi85EtB4,",28.6639,48.367153,ibalasfour,Ahmadi,Sabah Al-Ahmad Al-Bahrya
233463330,u'ar',9/21/2018 14:49,"u''(( اعْلَمُوا أَنَّمَا الْحَيَاةُ الدُّنْيَا لَعِبٌ وَلَهْوٌ وَزِينَةٌ وَتَفَاخُرٌ بَيْنَكُمْ وَتَكَاثُرٌ فِي الْأَ… https://t.co/Ku1uPg2dgB'',",29.2753,47.99,KhalifaHamada,Hawalli,Zahra
9.54E+17,en,08/03/2019 16:59,I'm at messila clinic in sabah alsalem https://t.co/wmWCywq02o,29.24705,48.083897,i292x,Mubarak Al-Kabeer,Sabah Al-Salem
8.56E+17,u'en',11/22/2018 19:54,"uI''m at Dose Caf\xe9 in Kuwait City, Al Asimah Governate w/ @xheessaa https://t.co/KsjO0gqcFc,",29.373968,47.97964,_xthirtysevenx,Capital,Qibla
286099580,und,9/28/2019 11:52,"I''m at Starbucks 125complex in مدينة الكويت, الشويخ https://t.co/f1laLLSCrm",29.341368,47.942196,Media7lm10,Capital,Shuwaikh Industrial - 1
1016263000,u'und',12/29/2017 6:27,"uJust posted a photo @ Hawalli, Al ''Āşimah, Kuwait https://t.co/y2FYStG6fC,",29.3328,48.0286,aboaesha39,Hawalli,Hawalli
450777060,u'und',11/09/2018 2:22,"uI''m at قهوه بنيدر BNAIDER 258 w/ @yyn_95 https://t.co/JV3eWkJt0d,",28.811222,48.27435,AMW260,Ahmadi,Shalihat
2862039800,und,8/15/2019 22:15,https://t.co/svNehQ988G,29.333563,47.781322,123_al3jmiii,Capital,Jaber Al-Ahmad
895912640,u'ca',5/15/2018 15:33,"uI''m at Kuwait International Airport in Al Farwānīyah, Al Farwaniyah https://t.co/siUiYHk9sq,",29.240583,47.9709,Xmfs19,Farwaniya,Airport
308666340,ar,6/30/2020 11:00,الحمدالله🔥تم البيع 🔥لَئِن شَكَرْتُمْ لَأَزِيدَنَّكُمْ🙏🏽الصراف موتورز لبيع وشراء وتثمين السيارات🏎العنوان :اسواق… https://t.co/8h9iNh0Nqp,29.195213,48.05308,Eng_hussain77,Mubarak Al-Kabeer,South Wosta
1.08E+18,ar,1/23/2020 12:58,I'm at فيرجينيا كلينيك https://t.co/v9qfNpGI6K,29.33236,48.049778,NFalmusaied,Hawalli,Salmiya
9.21E+17,u'ca',9/27/2018 18:48,"uI''m at Grand Avenue in Kuwait, Al ‘Āşimah https://t.co/trQAtpWuqy,",29.302975,47.938072,Layalii_5,Farwaniya,Al-Rai
1.02E+18,en,7/15/2019 20:25,"☕️🎶 (@ Oj''s Coffee &amp; Tea in Sharq, Al Asimah Governate) https://t.co/2TYuMpLl44",29.379091,47.980267,AKSWL32,Capital,Sharq
7.61E+17,u'en',6/17/2018 22:00,"uI''m at @Starbucks in Kuwait City, Al Asimah w/ @252__x https://t.co/WbQnGn0KdB,",29.357145,47.99838,alsaleh216,Capital,Mansouriya
3923915000,u'in',1/18/2019 19:23,"uI''m at Starbucks Al Khiran in Khiran, Al Ahmadi https://t.co/MMq41BmeYX,",28.666943,48.375263,madeinbnaider,Ahmadi,Sabah Al-Ahmad Al-Bahrya
1.15E+18,ar,2/23/2020 21:08,I'm at مركز الشيخ جابر الأحمد الثقافي in Kuwait https://t.co/Qtxm5MZQTQ,29.359667,47.95659,AM132__,Capital,Shuwaikh
219111570,und,8/15/2019 20:57,@NEl6aher MK,29.195984,48.09291,a_al3adwani,Mubarak Al-Kabeer,Mubarak Al-Kabeer
9.33E+17,u'en',4/27/2018 16:38,"uI''m at Grand Avenue Phase 4 in Al Farwaniyah Governorate https://t.co/Kkdhvtzbza,",29.30332,47.941692,alshmri_x2,Farwaniya,Al-Rai
290618600,ca,05/02/2019 22:34,"I''m at Grand Avenue in Kuwait, Al ‘Āşimah https://t.co/8OpM1CWMx0",29.330233,47.91259,TALAL_ALNASSER,Capital,Shuwaikh Education
2974805800,u'en',10/25/2018 11:15,"uI''m at College of Basic Education in Al-Ardiya, Kuwait https://t.co/Y2QAkQZ0o7,",29.276814,47.922565,Almutairix6__,Farwaniya,Ardhiya - 6
